Customer ID,Gender,Age,Zip Code,Latitude,Longitude,Tenure in Months,Offer,Internet Type,Avg Monthly GB Download,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Charges,Total Extra Data Charges,Total Revenue,Customer Status
0002-ORFBO,Female,37,93225,34.827662,-118.999073,9,None,Cable,16,Yes,One Year,Credit Card,65.6,593.3,0,974.81,Stayed
0003-MKNFE,Male,46,91206,34.162515,-118.203869,9,None,Cable,10,No,Month-to-Month,Credit Card,-4,542.4,10,610.28,Stayed
0004-TLHLJ,Male,50,92627,33.645672,-117.922613,4,Offer E,Fiber Optic,30,Yes,Month-to-Month,Bank Withdrawal,73.9,280.85,0,415.45,Churned
0011-IGKFF,Male,78,94553,38.014457,-122.115432,13,Offer D,Fiber Optic,4,Yes,Month-to-Month,Bank Withdrawal,98,1237.85,0,1599.51,Churned
0013-EXCHZ,Female,75,93010,34.227846,-119.079903,3,None,Fiber Optic,11,Yes,Month-to-Month,Credit Card,83.9,267.4,0,289.54,Churned
0013-MHZWF,Female,23,95345,37.581496,-119.972762,9,Offer E,Cable,73,Yes,Month-to-Month,Credit Card,69.4,571.45,0,722.38,Stayed
0013-SMEOE,Female,67,93437,34.757477,-120.550507,71,Offer A,Fiber Optic,14,Yes,Two Year,Bank Withdrawal,109.7,7904.25,0,8611.41,Stayed
0014-BMAQU,Male,52,94558,38.489789,-122.27011,63,Offer B,Fiber Optic,7,No,Two Year,Credit Card,84.65,5377.8,20,6214.28,Stayed
0015-UOCOJ,Female,68,93063,34.296813,-118.685703,7,Offer E,DSL,21,Yes,Two Year,Bank Withdrawal,48.2,340.35,0,414.06,Stayed
0016-QLJIS,Female,43,95681,38.984756,-121.345074,65,None,Cable,14,Yes,Two Year,Credit Card,90.45,5957.9,0,7807.8,Stayed
0017-DINOC,Male,47,92091,32.99356,-117.207121,54,None,Cable,10,Yes,Two Year,Credit Card,45.2,2460.55,0,2460.55,Stayed
0017-IUDMW,Female,25,94086,37.378541,-122.020456,72,None,Fiber Optic,59,Yes,Two Year,Credit Card,116.8,8456.75,0,9609.47,Stayed
0018-NYROU,Female,58,95843,38.715498,-121.363411,5,None,Fiber Optic,10,Yes,Month-to-Month,Bank Withdrawal,68.95,351.5,0,444.75,Stayed
0019-EFAEP,Female,32,91942,32.782501,-117.01611,72,Offer A,Fiber Optic,16,Yes,Two Year,Bank Withdrawal,101.3,7261.25,0,7423.25,Stayed
0019-GFNTW,Female,39,93441,34.70434,-120.02609,56,None,DSL,19,Yes,Two Year,Bank Withdrawal,45.05,2560.1,0,2560.1,Stayed
0020-INWCK,Female,58,93286,36.464635,-119.094348,71,Offer A,Fiber Optic,12,Yes,Two Year,Credit Card,95.75,6849.4,0,8784.86,Stayed
0020-JDNXP,Female,52,94956,38.060264,-122.830646,34,None,DSL,20,Yes,One Year,Credit Card,61.25,1993.2,0,1993.2,Stayed
0021-IKXGC,Female,72,92078,33.119028,-117.166036,1,Offer E,Fiber Optic,22,Yes,One Year,Bank Withdrawal,72.1,72.1,0,79.87,Joined
0022-TCJCI,Male,79,94015,37.680844,-122.48131,45,None,DSL,17,Yes,One Year,Credit Card,62.7,2791.5,0,3271.65,Churned
0023-HGHWL,Male,67,95037,37.161544,-121.649371,1,None,Cable,9,Yes,Month-to-Month,Bank Withdrawal,25.1,25.1,0,25.1,Churned
0023-UYUPN,Female,79,93601,37.375816,-119.739935,50,None,,,,One Year,Bank Withdrawal,25.2,1306.3,0,2877.8,Stayed
0023-XUOPT,Female,26,96140,39.227434,-120.091806,13,None,Fiber Optic,52,Yes,Month-to-Month,Bank Withdrawal,94.1,1215.6,0,1781.88,Churned
0027-KWYKW,Female,30,93201,35.869626,-119.498771,23,Offer D,Fiber Optic,30,Yes,Month-to-Month,Bank Withdrawal,83.75,1849.95,0,2652.88,Stayed
0030-FNXPP,Female,22,93530,36.560498,-117.962461,3,None,,,,Month-to-Month,Credit Card,19.85,57.2,0,66.56,Joined
0031-PVLZI,Female,34,95550,40.7666,-123.80458,4,Offer E,,,,Month-to-Month,Credit Card,20.35,76.35,0,126.07,Churned
0032-PGELS,Female,37,92060,33.309852,-116.823091,1,None,DSL,19,Yes,Month-to-Month,Bank Withdrawal,30.5,30.5,0,30.5,Churned
0036-IHMOT,Female,37,93648,36.622237,-119.521126,55,None,Fiber Optic,57,No,One Year,Bank Withdrawal,103.7,5656.75,20,7603.95,Stayed
